PLANTSPECIES,SUBSP_OR_VARIETY,FRUIT_LENGTH_mm,FRUIT_DIAMETER_mm,PLANT_MAX_MEAN_VEGETATIVE_HEIGHT_m,FRUIT_SIZE_REFERENCE,PLANT_HEIGHT_REFERENCE_IF_DIFFERENT_FROM_THAT_OF_FRUIT_SIZE,NOTES
Ileostylus_micranthus,,6.5,6.5,30,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,"Plant height extracted from the highest host (Podocarpus totara). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559.",
Ilex_aquifolium,,8,8,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Isolepis_habra,,1.2,0.7,0.3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Jasminum_officinale,,6,7,9.14,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Missouri Botanical Garden,Missouri Botanical Garden http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?kempercode=b559,
Knightia_excelsa,,31.5,6.3,30,University of Canterbury herbarium specimen number 10880,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,31.5,6,30,University of Canterbury herbarium specimen number 26388,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,40,10,30,University of Canterbury herbarium specimen number 31099,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Knightia_excelsa,,40.6,11.2,30,University of Canterbury herbarium specimen number 11871,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 35mm).
Lantana_camara,,5,5,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Laurus_nobilis,,12,9,7,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Lepidothamnus_intermedius,,4,4,12,"Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database; Wilson H. & Galloway T. 'Small-leaved Shrubs of New Zealand' Manuka Press, Christchurch, New Zealand, 1993.",,"Seed size used as estimate of fruit size. Seed 3-5mm long, subtended by a small berry-like, pink stalk of slightly swollen scales. Fruit diameter estimated from fruit length as fruit is semiglobose."
Lepidothamnus_laxifolius,,4,4,0.5,"Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database; Wilson H. & Galloway T. 'Small-leaved Shrubs of New Zealand' Manuka Press, Christchurch, New Zealand, 1993.",,"Seed size used as estimate of fruit size: Seed 3-5 mm long, with a small white or red collar around the bas, usually cupped in a prominent red, juicy stalk of swollen, fleshy scales, although these scales occasionally remain dry. Fruit diameter estimated from fruit length as fruit is semiglobose."
Leptecophylla_juniperina,Cyathodes juniperina,6,4,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Leptospermum_scoparium,,7,5,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  http://www.nzflora.info/factsheet/Taxon/Leptospermum-scoparium.html,,
Leucopogon_fasciculatus,,3,3,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Leucopogon_fraseri,,8,8,0.15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Leucopogon_sp,,5.5,5.5,2.575,,,Fruit size and plant height calculated as the average between the two Leucopogon species from this dataset. 
Leycesteria_formosa,,8,7,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ligustrum_lucidum,,6,5,14,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ligustrum_ovalifolium,,6,5,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ligustrum_sinense,,5,4,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ligustrum_sp,,5.667,4.667,8,,,Fruit size and plant height calculated as the average between the three Ligustrum species found in this dataset.
Litsea_calicaris,,17.5,12.5,12,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network -  Kelly et al. NZ J Ecol 2010,,
Lonicera_japonica,,5,5,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Lophomyrtus_bullata,,6,5,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Lophomyrtus_obcordata,,6.5,5,6,NZ Plant Conservation Network -   Flora of NZ H. H. Allan,,
Luzuriaga_parviflora,,10,10,0.2,"Flora of NZ Series H. H. Allan - Nature Guide to the New Zealand Forest, Dawson J. & Lucas R. 2000",Oratia Native Plant Nursery website (http://www.oratianatives.co.nz/catalogue_item.php?products_code=LUZUPARV).,
Lycium_ferocissimum,,9,8,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Malus_domestica,,55,55,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Melicytus_alpinus,,5,5,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Melicytus_chathamicus,,6,6,3,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Melicytus_lanceolatus,,5,5,5,Flora of NZ Series H. H. Allan,,
Melicytus_obovatus,,4,4,3,Flora of NZ Series H. H. Allan,,
Melicytus_ramiflorus,,4,3,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Melicytus_sp,,4.8,4.6,5,,,Fruit size and plant height calculated as the average between the five Melicytus species of this dataset.
Meryta_sinclairii,,10,10,8,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Metrosideros_umbellata,,9,9,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit length used as fruit diameter as no information on fruit diameter was found.
Mida_salicifolia,,9.5,7,6,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Muehlenbeckia_astonii,,2.25,1.25,4,NZ Plant Conservation Network,,When a range of values was available the mid value of the range was chosen.
Muehlenbeckia_australis,,4,4,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Muehlenbeckia_axillaris,,3,2,1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Muehlenbeckia_complexa,,2,1.75,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Flora of NZ Series H. H. Allan,,
Muehlenbeckia_sp,,2.812,2.25,5.25,,,Fruit size and plant height calculated as the average between the four Muehlenbeckia species from this dataset.
Myoporum_laetum,,8,6,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Myrsine_australis,,3,3,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Myrsine_chathamica,,7,7,12,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Myrsine_divaricata,,5,5,4,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Myrsine_salicina,,8,7,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Myrsine_sp,,5.75,5.5,8.5,,,Fruit size and plant height calculated as the average between the four Myrsine species from this dataset.
Neomyrtus_pedunculata,,5.6,5,6,University of Canterbury herbarium specimen number 2419,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm).
Neomyrtus_pedunculata,,6.4,4.5,6,University of Canterbury herbarium specimen number 2419,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm).
Neomyrtus_pedunculata,,6,5,6,University of Canterbury herbarium specimen number 2419,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3. Fruit length also available at Eco Traits NZ Flora (fruit length = 6mm).
Nertera_balfouriana,,10,10,0.1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,http://temperate.theferns.info/viewtropical.php?id=Nertera+balfouriana.,
Nertera_ciliata,,4,4,0.1,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,http://temperate.theferns.info/plant/Nertera+ciliata. ,
Nertera_depressa,,4,4,0.01,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,http://www.oratianatives.co.nz/catalogue_item.php?catalogue_id=673,
Nertera_sp,,6,6,0.07,,,"Fruit size and plant height estimated as the mean of N. ciliata, N. depressa and N. balfouriana."
Nestegis_cunninghamii,,17.5,7.5,25,NZ Plant Conservation Network,,Fruit diameter estimated from endocarp diameter.
Nestegis_lanceolata,,11,9,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Nestegis_sp,,14.25,8.25,20,,,Fruit size and plant height calculated as the average between the two Nestegis species from this dataset.
Olea_europaea_subsp_cuspidata,,7,6,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Parsonsia_heterophylla,,130.7,4.2,10,University of Canterbury herbarium specimen number 39405,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,
Parsonsia_heterophylla,,140.8,4,10,University of Canterbury herbarium specimen number 21043,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,
Parsonsia_heterophylla,,84.8,3.3,10,University of Canterbury herbarium specimen number 6330,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,
Parsonsia_heterophylla,,98.4,3.1,10,University of Canterbury herbarium specimen number 19083,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,
Passiflora_edulis_f_edulis,,56,52,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Passiflora_tarminiana,,105,40,12,"NZ Plant Conservation Network - Weeds of Australia, Queensland Government https://keyserver.lucidcentral.org/weeds/data/media/Html/passiflora_tarminiana.htm","Rejmanek M. ‘Passiflora (Passifloraceae) in California: a key and comments on naturalized species’ 2009, 406, 406.",
Passiflora_tetrandra,,270,200,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Passiflora_tripartita_var_mollissima,,95,25,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Pennantia_corymbosa,,6.5,4,10,University of Canterbury herbarium specimen number 12840,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 9mm).
Pennantia_corymbosa,,11.5,7.3,10,University of Canterbury herbarium specimen number 30059,,Fruit length also available from Eco Traits NZ Flora (fruit length = 9mm).
Pennantia_corymbosa,,8.2,5,10,University of Canterbury herbarium specimen number 21044,,Fruit length also available from Eco Traits NZ Flora (fruit length = 9mm).
Pentachondra_pumila,,6,6,0.04,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Peraxilla_colensoi,,5.1,4.5,30,University of Canterbury herbarium specimen number 26435,"Plant height measured from its highest hosts (Fuscospora fusca and Lophozonia menziesii 30m tall). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559",Fruit 1.
Peraxilla_colensoi,,6.3,5,30,University of Canterbury herbarium specimen number 26435,"Plant height measured from its highest hosts (Fuscospora fusca and Lophozonia menziesii 30m tall). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559",Fruit 2.
Peraxilla_sp,,5.1,4.625,30,,,Fruit size and plant height calculated as the average between the two Perxilla species from this dataset.
Peraxilla_tetrapetala,,4.5,4.5,30,Nature Guide to the New Zealand Fores- J. Dawson & R. Lucas 2000 -  NZ Plant Conservation Network,"Plant height measured from its highest hosts  Fuscospora fusca and Lophozonia menziesii, 30m tall). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559.",Fruit length used as fruit diameter as fruit is globose. 
Phoenix_canariensis,,20,10,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database - TERRAIN -Taranaki Educational Resource Research Analysis and Information Network (http://www.terrain.net.nz/friends-of-te-henui-group/weeds/phoenix-canariensis-canary-island-date-palm.html).,,
Phormium_colensoi,synonym Phormium cookianum,81,13.5,2,University of Canterbury herbarium specimen number 8458,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phormium_colensoi,synonym Phormium cookianum,82.3,13.3,2,University of Canterbury herbarium specimen number 8458,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phormium_colensoi,synonym Phormium cookianum,83.5,11.5,2,University of Canterbury herbarium specimen number 8746,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phormium_colensoi,synonym Phormium cookianum,72.5,12.5,2,University of Canterbury herbarium specimen number 8746,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phormium_tenax,,75.5,17.5,3,University of Canterbury herbarium specimen number 30028,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phormium_tenax,,84.5,19,3,University of Canterbury herbarium specimen number 30028,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 100mm).
Phyllocladus_alpinus,,6.5,6.5,6,NZ Plant Conservation Network,,Fruit length used as fruit diameter as fruit is globose. 
Phytolacca_octandra,,8,8,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Piper_excelsum,Macropiper excelsum,40,4,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Pisonia_brunoniana,,32.5,6,8,"NZ Plant Conservation Network - Nature Guide to the New Zealand Forest, Dawson J. & Lucas R. 2000.",,
Pittosporum_crassifolium,,15,15,10,NZ Plant Conservation Network,,
Pittosporum_eugenioides,,7.9,4.8,12,University of Canterbury herbarium specimen number 22629,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available from Eco Traits NZ Flora (fruit length = 5mm). 
Pittosporum_eugenioides,,6.8,4.4,12,University of Canterbury herbarium specimen number 22629,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available from Eco Traits NZ Flora (fruit length = 5mm). 
Pittosporum_eugenioides,,7.5,4.8,12,University of Canterbury herbarium specimen number 37212,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 5mm). 
Pittosporum_eugenioides,,6.5,4,12,University of Canterbury herbarium specimen number 10924,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit length also available from Eco Traits NZ Flora (fruit length = 5mm). 
Pittosporum_sp,,11.29167,9.8667,10.333,,,Fruit size and plant height calculated as the average between the three Pittosporum species from this dataset.
Pittosporum_tenuifolium,,12,10,9,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Plagianthus_regius,,4,3.4,15,University of Canterbury herbarium specimen number 35220,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 4mm). 
Plagianthus_regius,,4.2,4.2,15,University of Canterbury herbarium specimen number 35220,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 4mm). 
Plagianthus_regius,,3.9,2.8,15,University of Canterbury herbarium specimen number 35220,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3. Fruit length also available at Eco Traits NZ Flora (fruit length = 4mm). 
Planchonella_costata,,37.5,18.3,18,NZ Plant Conservation Network -  Kelly et al. NZ J Ecol 2010,,
Podocarpus_cunninghamii,synonym Podocarpus laetus,7.5,7.5,20,NZ Plant Conservation Network,,Semi-globose fruit. Fruit length used as fruit diameter.
Podocarpus_nivalis,,7.1,5.7,3,University of Canterbury herbarium specimen number 30127,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,Fruit 1.
Podocarpus_nivalis,,6.8,4.9,3,University of Canterbury herbarium specimen number 30127,,Fruit 2.
Podocarpus_sp,,7.225,6.4,11.5,,,Fruit size and plant height calculated as the mean of P. cunninghamii and P. nivalis.
Podocarpus_totara,,6,4,30,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prumnopitys_ferruginea,,18,12,30,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prumnopitys_taxifolia,,10,10,25,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prunus_avium,,12,12,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prunus_cerasifera,,23,23,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prunus_domestica,,45,45,6,NZ Plant Conservation Network,,
Prunus_laurocerasus,,10,10,10,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,Fruit diameter estimated from fruit length as fruit is globose.
Prunus_persica,,7,6,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Prunus_sp,,19.4,19.2,9,,,Fruit size and plant height calculated as the average between the five Prunus species from this dataset.
Pseudopanax_arboreus,,7,4,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Pseudopanax_chathamicus,,5.5,5.5,12,NZ Plant Conservation Network,,
Pseudopanax_colensoi_var_colensoi,,5,5,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Pseudopanax_colensoi_var_ternatus,,5,5,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Pseudopanax_crassifolius,,5,4.5,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Pseudopanax_lessonii,,7,5,6,NZ Plant Conservation Network,,
Pseudopanax_sp,,5.75,4.8333,9.5,,,Fruit size and plant height calculated as the average between the six Pseudopanax species from this dataset.
Pseudowintera_axillaris,,5.5,5.5,7,NZ Plant Conservation Network,,Fruit diameter used as fruit length as fruit is globose.
Pseudowintera_colorata,,4,4,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Psidium_cattleianum,,2,2,6,Flora of NZ Series H. H. Allan -  NZ Plant Conservation Network,,
Psidium_guajava,,35,35,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Flora of NZ Series H. H. Allan,,
Pyrus_communis,,116.6,80.9,15,,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit size measured from fresh fruit. Fruit 1.
Pyrus_communis,,113,80,15,,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit size measured from fresh fruit. Fruit 2.
Pyrus_communis,,86.3,88.8,15,,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit size measured from fresh fruit. Fruit 3.
Pyrus_communis,,94.2,81.6,15,,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit size measured from fresh fruit. Fruit 4.
Raukaua_edgerleyi,,3.5,3.5,12,NZ Plant Conservation Network,,
Raukaua_simplex,,4,4,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rhamnus_alaternus,,6,4,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rhaphiolepis_sp,Rhaphiolepis umbellata,9,9,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rhopalostylis_sapida,,10,7,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ribes_sanguineum,,6,6,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Ripogonum_scandens,,10,10,NA,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rosa_rubiginosa,,17,14,5,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rubus_australis,,9,9,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Rubus_cissoides,,7,6,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rubus_fruticosus,,4.3,3.5,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Rubus_sp,,6.766667,6.166667,9,,,"Fruit size and plant height calculated as the average between the three Rubus spp (R. fruticosus, R. cissoides, R. australis)."
Rubus_squarrosus,,6,5.5,10,University of Canterbury herbarium specimen number 12586,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available from Eco Traits Nz flora database (6mm).
Rubus_squarrosus,,5.7,5,10,University of Canterbury herbarium specimen number 12586,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available from Eco Traits Nz flora database (6mm).
Rubus_squarrosus,,6,5,10,University of Canterbury herbarium specimen number 12586,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3. Fruit length also available from Eco Traits Nz flora database (6mm).
Rubus_squarrosus,,6.1,5.4,10,University of Canterbury herbarium specimen number 12586,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 4. Fruit length also available from Eco Traits Nz flora database (6mm).
Sambucus_nigra,,7,7,6,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database -  Schaefer & Braun_Ecol_2009_Reliable cues and signals of fruit quality are contingent on the habitat in black elder (Sambucus nigra),,
Schefflera_digitata,,4,3.5,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database - NZ Plant Conservation Network,,
Solanum_aviculare,,20,15,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Solanum_laciniatum,,25,22,3,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Solanum_mauritianum,,10,10,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Solanum_nigrum,,8,8,0.75,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Solanum_nodiflorum,synonym Solanum americanum,6.5,6.5,1,NZ Plant Conservation Network,,
Solanum_pseudocapsicum,,18,18,2,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Sorbus_aucuparia,,8,8,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Streblus_heterophyllus,,4.5,4.5,12,"NZ Plant Conservation Network; Wilson H. & Galloway T. 'Small-leaved Shrubs of New Zealand' Manuka Press, Christchurch, NZ, 1993",,Fruit diameter used as fruit length as fruit is globose (drupe or berry like).
Syzygium_australe,,20,10,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Syzygium_smithii,,14,12,15,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Taxus_baccata,,12,9,10,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Toronia_toru,,12.3,8,10,University of Canterbury herbarium specimen number 3139,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 1. Fruit length also available at Eco Traits NZ Flora (fruit length = 15mm).
Toronia_toru,,11.5,8.5,10,University of Canterbury herbarium specimen number 3139,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 2. Fruit length also available at Eco Traits NZ Flora (fruit length = 15mm).
Toronia_toru,,11.4,7.7,10,University of Canterbury herbarium specimen number 3139,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,Fruit 3. Fruit length also available at Eco Traits NZ Flora (fruit length = 15mm).
Trachycarpus_fortunei,,9,12,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Tropaeolum_speciosum,,6,5,8,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
Tupeia_antarctica,,6,6,30,NZ Plant Conservation Network,"Plant height extracted from its highest host Ileostylus micranthus (30m tall). Host range extracted from Norton & Lange ‘Host specificity in parasitic mistletoes (Loranthaceae) in NZ’ Functional Ecology, 1999, vol13, 552-559.",
Vitex_lucens,,20,20,20,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,Fruit subglobose.
Vitis_vinifera,,11,11,12,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database – NZ Plant Conservation Network,,
Weinmannia_racemosa,,5,5,25,Ecological Traits of NZ Flora  Manaaki Whenua Landcare Research Database,,
