"species";"guild";"bin.communicability";"weighted.communicability";"scaled.bin.communicability";"scaled.weighted.communicability"
"Acanthis_flammea";"birds";119723275764421;71641445,1285668;0,0990888629559399;0,242235875088736
"Acanthisitta_chloris";"birds";2104387580688,39;1404416,56071362;0,00174169451393328;0,00474864896936486
"Acridotheres_tristis";"birds";181383785773,812;611473,703105631;0,000150122129353831;0,00206753042599472
"Acrothamnus_colensoi";"plants";6560217161,00864;5471,32947424363;5,42955791242699e-06;1,84997982761758e-05
"Alectryon_excelsus";"plants";1259386397369,36;1495672,57173536;0,00104233003432898;0,00505720611317022
"Anthornis_melanura";"birds";352741032055803;114736334,060541;0,291945802193807;0,387949408833831
"Anthus_novaeseelandiae";"birds";3492990995969,9;418501,299410235;0,00289097089848298;0,00141504723008426
"Aristotelia_fruticosa";"plants";1090587811397,17;297588,555515671;0,000902624034424119;0,00100621398734163
"Aristotelia_serrata";"plants";11710095672939,8;15808047,7341932;0,0096918502933387;0,0534505727720154
"Ascarina_lucida";"plants";2799731959,04244;773584,081470942;2,31719567169883e-06;0,00261566215747802
"Asparagus_scandens";"plants";24720159648,2562;178321,780324404;2,04596181986774e-05;0,000602946135812093
"Astelia_fragrans";"plants";7119316408,65501;84807,6592969338;5,89229590865265e-06;0,000286753813063837
"Astelia_nervosa";"plants";871191969178,009;1956030,86762426;0,000721041260281396;0,00661378128357447
"Astelia_nivicola";"plants";95416992986,6387;305498,055927531;7,89717895818773e-05;0,00103295779115998
"Beilschmiedia_tawa";"plants";2105096118775,63;8591759,04730788;0,0017422809348525;0,0290506740566336
"Berberis_glaucocarpa";"plants";30890081788,5183;8914,7768812961;2,55661487834923e-05;3,01428701666504e-05
"Carduelis_carduelis";"birds";34740860754,8637;166245,89106316;2,87532425781913e-05;0,000562114832124367
"Carpodetus_serratus";"plants";49384702712602,5;52301263,6124336;0,0408732053810304;0,176842361801447
"Coprosma_arborea";"plants";96001598199,8161;392047,070910662;7,94556375678433e-05;0,00132559952032782
"Coprosma_areolata";"plants";49845517683,8331;323754,272866189;4,12545984830881e-05;0,00109468617586815
"Coprosma_cheesemanii";"plants";480635745111,291;1043539,28811687;0,000397797747973181;0,00352844156329937
"Coprosma_crassifolia";"plants";67257810032,8443;279731,655893934;5,56658667958173e-05;0,000945835784494372
"Coprosma_depressa";"plants";77790474461,5482;261187,411305628;6,43832171645991e-05;0,000883133513376775
"Coprosma_foetidissima";"plants";18063871144407,5;16760287,6706974;0,0149505469245929;0,0566703106472018
"Coprosma_fowerakeri";"plants";274032971029,65;581095,436530376;0,000226803145323187;0,00196481465896447
"Coprosma_linariifolia";"plants";428617792261,279;571372,665536904;0,000354745135452407;0,00193193977856997
"Coprosma_lucida";"plants";42065020356769,7;44023209,5169692;0,0348150767739807;0,148852394901029
"Coprosma_parviflora";"plants";233708778,2537;12752,8311311784;1,93428862951836e-07;4,31201967433244e-05
"Coprosma_perpusilla";"plants";3630883342,89409;42024,6856166945;3,00509737706289e-06;0,000142094935095465
"Coprosma_propinqua";"plants";8826773311859,17;4279814,31527345;0,00730547109956278;0,0144710169374316
"Coprosma_pseudocuneata";"plants";2018908266735,53;2864001,64989133;0,00167094763558601;0,00968383516932123
"Coprosma_repens";"plants";17388750585,2618;160179,1807883;1,43917839928506e-05;0,000541601917153106
"Coprosma_rhamnoides";"plants";21458507753884,1;26346892,1321558;0,0177601149023646;0,0890847813028893
"Coprosma_rigida";"plants";108858156989,037;109272,427403683;9,00963570421149e-05;0,000369474708776455
"Coprosma_robusta";"plants";13673056016169,8;13177420,304284;0,011316492679678;0,0445558284466751
"Coprosma_rotundifolia";"plants";1928633440625,12;2836667,85666594;0,0015962317558566;0,00959141345295907
"Coprosma_serrulata";"plants";448376344325,535;927752,338891401;0,000371098283536622;0,00313693978776774
"Coprosma_tenuifolia";"plants";111380132127,11;816982,830974656;9,21836675273927e-05;0,00276240311231112
"Cordyline_australis";"plants";1426369646753,41;2796075,19044991;0,00118053357251743;0,00945416049825695
"Coriaria_arborea";"plants";7393189,52660662;8295,00476374198;6,11896675171764e-09;2,80472809308121e-05
"Coriaria_sarmentosa";"plants";29480989,6920186;3867,89140907231;2,4399914960112e-08;1,30782127376606e-05
"Corokia_cotoneaster";"plants";28898303496,3913;67161,1560632333;2,39176552473186e-05;0,000227087007831189
"Corynocarpus_laevigatus";"plants";20095463042,8307;435089,029454224;1,66319921566911e-05;0,00147113408449835
"Crataegus_monogyna";"plants";53171763155,1164;92276,139939742;4,40075625960176e-05;0,000312006429630229
"Dacrycarpus_dacrydioides";"plants";12087092332964,9;16619375,7231473;0,0100038712444993;0,0561938555887646
"Dacrydium_cupressinum";"plants";42308380964127,6;39671885,632788;0,0350164939647265;0,134139587991738
"Elaeocarpus_dentatus";"plants";4625246280438,59;11077802,6646483;0,00382808098002319;0,0374565479202123
"Elaeocarpus_hookerianus";"plants";3849330128024,35;3930617,51328329;0,00318589466494808;0,0132903038354489
"Freycinetia_banksii";"plants";4957649473,70861;65203,7463415845;4,10319418799171e-06;0,000220468564331342
"Fringilla_coelebs";"birds";658306026155596;71077978,5491775;0,54484639843263;0,240330667569588
"Fuchsia_excorticata";"plants";8223047834160,28;10449823,0180324;0,00680579824363101;0,0353332071785098
"Gallirallus_australis";"birds";30578291225,7188;2257,49210847803;2,53080956008432e-05;7,63308969300844e-06
"Gaultheria_antipoda";"plants";91232542576,93;224401,766494643;7,55085329131455e-05;0,000758752956207649
"Gaultheria_depressa";"plants";13220686,9185657;2521,28346833993;1,09420897974332e-08;8,52502774342493e-06
"Geniostoma_ligustrifolium";"plants";760875889509,491;3522995,94230497;0,000629738254827224;0,0119120434196549
"Gerygone_igata";"birds";783880733636680;29995204,9571123;0,648778193656889;0,101420549351186
"Griselinia_littoralis";"plants";49753195475293,6;38258869,3840311;0,0411781880891079;0,129361861538594
"Hedera_helix";"plants";973483911,868028;28680,2516448087;8,05703095885132e-07;9,69743957911194e-05
"Hedycarya_arborea";"plants";22053224885960,1;31676546,8924221;0,0182523320090347;0,107105545435398
"Hedychium_gardnerianum";"plants";11274114982,4018;54692,2988097408;9,3310112616607e-06;0,000184926990780501
"Hemiphaga_novaeseelandiae";"birds";71159927485590,3;148410265,320731;0,058895450843233;0,501808561058516
"Ileostylus_micranthus";"plants";22315014105,1939;60110,5473931135;1,84690016240479e-05;0,000203247310599374
"Lepidothamnus_laxifolius";"plants";785331,529917523;593,223844700192;6,49978943911437e-10;2,00582354092067e-06
"Leucopogon_fasciculatus";"plants";31613787635584,8;24145740,5605395;0,0261651232856726;0,0816421916650536
"Ligustrum_sinense";"plants";12973423609,2586;111098,927664841;1,07374425388819e-05;0,00037565051788133
"Litsea_calicaris";"plants";6237108966,18823;75928,8332802312;5,16213770167784e-06;0,000256732500874268
"Lonicera_japonica";"plants";760401448,813594;26249,4943596327;6,29345584406236e-07;8,8755457478998e-05
"Lophomyrtus_bullata";"plants";5230739867,37298;332543,065355611;4,32921720999487e-06;0,00112440306440701
"Lophomyrtus_obcordata";"plants";10947987945,5202;46409,8407495339;9,06109250895823e-06;0,000156922133082565
"Macropiper_excelsum";"plants";4515589133771,18;7416516,45954504;0,00373732333988271;0,025076913949235
"Melicytus_alpinus";"plants";498052773754,829;44650,6911824007;0,000412212936275873;0,000150974051856094
"Melicytus_lanceolatus";"plants";1472015441,17051;68944,8270137873;1,21831227376522e-06;0,000233118001382511
"Melicytus_ramiflorus";"plants";68830748394306,3;55361626,6032904;0,0569677078350128;0,187190138927509
"Mida_salicifolia";"plants";12989297,9733487;42478,8051451783;1,07505809422357e-08;0,000143630415586957
"Mohoua_albicilla";"birds";10865724268024;14004251,693541;0,00899300704927104;0,0473515317545588
"Muehlenbeckia_australis";"plants";7818196685808,53;10110161,8214364;0,00647072354992218;0,0341847361078403
"Muehlenbeckia_axillaris";"plants";90574007243,2619;393233,647790126;7,49634967285536e-05;0,00132961160423039
"Myoporum_laetum";"plants";263358596,461657;20773,0106100819;2,17968508683363e-07;7,0238231436154e-05
"Myrsine_australis";"plants";61285110518063,3;50199010,0492436;0,0507225673419861;0,169734168623269
"Myrsine_divaricata";"plants";16574770429388,4;9289080,39743928;0,0137180940390867;0,0314084747286329
"Myrsine_salicina";"plants";1390268813375,28;2944257,24735185;0,0011506547498043;0,00995519743520978
"Neomyrtus_pedunculata";"plants";6096581648345,3;5173694,3362558;0,00504583039175505;0,0174934267829954
"Neopanax_colensoi";"plants";2343200021340,32;2838369,48992108;0,00193934741854054;0,00959716705856963
"Nestegis_cunninghamii";"plants";27229641283,3825;424813,574650863;2,25365884473262e-05;0,00143639045555899
"Nestegis_lanceolata";"plants";758793261454,431;2589915,40502018;0,00062801456956537;0,00875708779205936
"Nestor_meridionalis";"birds";9020865889514,91;21895634,871836;0,00746611164924117;0,0740340771223184
"Nestor_notabilis";"birds";45633628909654,5;52947218,651831;0,0377686324763489;0,17902648139808
"Paratrophis_microphylla";"plants";523655006705,547;916327,643363044;0,000433402601660669;0,00309831031688022
"Passiflora_tetrandra";"plants";238625134524,733;619382,068041916;0,000197497880857273;0,00209427039051419
"Pennantia_corymbosa";"plants";3707684119877,98;6794577,06320072;0,00306866147198826;0,0229739966552683
"Pentachondra_pumila";"plants";191561310321,289;444266,904803489;0,000158545548515031;0,00150216654989174
"Petroica_australis";"birds";6813716455906,75;10823928,0975439;0,00563936637891945;0,0365981407815101
"Petroica_macrocephala";"birds";162818545021855;34010495,8342981;0,134756624318416;0,114997152916698
"Phyllocladus_trichomanoides";"plants";0;0;0;0
"Pittosporum_crassifolium";"plants";43726757458,962;252762,219119236;3,61904120121505e-05;0,000854646039423688
"Pittosporum_eugenioides";"plants";242515666729,068;689470,021746217;0,000200717876384121;0,00233125356091608
"Pittosporum_tenuifolium";"plants";623175067069,088;1114333,62459024;0,000515770291316387;0,00376781317307329
"Platycercus_eximius";"birds";751298996626,1;13334088,6240879;0,000621811947929864;0,0450855593514368
"Podocarpus_cunninghamii";"plants";20885894284487,8;24305412,4794297;0,0172861918724988;0,0821820784153845
"Podocarpus_nivalis";"plants";135782597835,013;335999,970286889;0,000112380346618226;0,00113609163922043
"Podocarpus_totara";"plants";1691191078612,35;4841758,90122754;0,00139971279561938;0,0163710782536946
"Prosthemadera_novaeseelandiae";"birds";516637489657708;114887634,050091;0,42759455990267;0,388460988203898
"Prumnopitys_ferruginea";"plants";41792880436264,2;44250811,818551;0,0345898404102441;0,149621969587817
"Prumnopitys_taxifolia";"plants";2942679071743,36;5708787,98255049;0,00243550572268875;0,0193026990196456
"Pseudopanax_arboreus";"plants";13276062454213,8;15573973,8171742;0,0109879213103775;0,0526591160946301
"Pseudopanax_crassifolius";"plants";66504606722400,6;55068482,8303567;0,0550424787442459;0,186198953752001
"Pseudowintera_axillaris";"plants";11085415074820,1;10165374,2692666;0,00917483395058413;0,0343714218397087
"Pseudowintera_colorata";"plants";20371309904174;18956407,7183746;0,0168602965667229;0,0640958875684143
"Raukaua_edgerleyi";"plants";338520128238,435;803263,152562507;0,000280175883767574;0,00271601378696824
"Raukaua_simplex";"plants";21725353639616,7;16246110,4381312;0,0179809696629187;0,0549317615202563
"Rhipidura_fuliginosa";"birds";301074928928027;8208980,13547852;0,249184397783446;0,0277564122713485
"Rhopalostylis_sapida";"plants";613698787883,812;3437636,12379623;0,000507927257256998;0,0116234226318306
"Ripogonum_scandens";"plants";46086246828906,2;47513183,6918806;0,0381432412956096;0,1606527842815
"Rosa_rubiginosa";"plants";314612,512866117;1455,97937076231;2,60388767117905e-10;4,92299445320823e-06
"Rubus_cissoides";"plants";13388979436621,8;14002619,8004205;0,0110813769506763;0,047346013956064
"Rubus_fruticosus";"plants";2218217835512,88;1242619,17434896;0,00183590602333717;0,00420157553438907
"Sambucus_nigra";"plants";114032883371,765;78819,8966785131;9,43792147412442e-05;0,000266507837915041
"Schefflera_digitata";"plants";26236301193873,6;31337292,6328693;0,021714451403635;0,105958450310601
"Sturnus_vulgaris";"birds";7465682707,21518;187900,761017184;6,17896566832511e-06;0,000635334828787362
"Styphelia_nesophila";"plants";147492696,471234;23505,7898686401;1,22072199364122e-07;7,94783741207859e-05
"Turdus_merula";"birds";1208241493472946;203437683,811817;1;0,687868667022896
"Turdus_philomelos";"birds";17913182954378,8;21034971,2807946;0,0148258299778213;0,0711239795138908
"Vitex_lucens";"plants";16979641730,9388;341660,000187439;1,40531854125725e-05;0,00115522947617399
"Zosterops_lateralis";"birds";1084393816637672;295750764,011825;0,897497580157351;1
