"species";"guild";"status"
"Acanthisitta_chloris";"birds";"native"
"Acer_pseudoplatanus";"plants";"exotic"
"Acridotheres_tristis";"birds";"exotic"
"Acrothamnus_colensoi";"plants";"native"
"Actinidia_arguta";"plants";"exotic"
"Actinidia_chinensis";"plants";"exotic"
"Alectryon_excelsus";"plants";"native"
"Alepis_flavida";"plants";"native"
"Alnus_glutinosa";"plants";"exotic"
"Alseuosmia_macrophylla";"plants";"native"
"Anas_chlorotis";"birds";"native"
"Androstoma_empetrifolia";"plants";"native"
"Anthornis_melanura";"birds";"native"
"Anthus_novaeseelandiae";"birds";"native"
"Arbutus_unedo";"plants";"exotic"
"Archontophoenix_cunninghamiana";"plants";"exotic"
"Aristotelia_fruticosa";"plants";"native"
"Aristotelia_serrata";"plants";"native"
"Ascarina_lucida";"plants";"native"
"Asparagus_asparagoides";"plants";"exotic"
"Asparagus_scandens";"plants";"exotic"
"Astelia_banksii";"plants";"native"
"Astelia_fragrans";"plants";"native"
"Astelia_nervosa";"plants";"native"
"Astelia_nivicola";"plants";"native"
"Beilschmiedia_tarairi";"plants";"native"
"Beilschmiedia_tawa";"plants";"native"
"Berberis_darwinii";"plants";"exotic"
"Berberis_glaucocarpa";"plants";"exotic"
"Branta_canadensis";"birds";"exotic"
"Cacatua_galerita";"birds";"exotic"
"Callaeas_cinereus";"birds";"native"
"Carduelis_carduelis";"birds";"exotic"
"Carpodetus_serratus";"plants";"native"
"Cestrum_nocturnum";"plants";"exotic"
"Chloris_chloris";"birds";"exotic"
"Chroicocephalus_novaehollandiae";"birds";"native"
"Coprosma_acerosa";"plants";"native"
"Coprosma_arborea";"plants";"native"
"Coprosma_areolata";"plants";"native"
"Coprosma_cheesemanii";"plants";"native"
"Coprosma_colensoi";"plants";"native"
"Coprosma_crassifolia";"plants";"native"
"Coprosma_cuneata";"plants";"native"
"Coprosma_depressa";"plants";"native"
"Coprosma_foetidissima";"plants";"native"
"Coprosma_fowerakeri";"plants";"native"
"Coprosma_grandifolia";"plants";"native"
"Coprosma_intertexta";"plants";"native"
"Coprosma_linariifolia";"plants";"native"
"Coprosma_lucida";"plants";"native"
"Coprosma_macrocarpa";"plants";"native"
"Coprosma_parviflora";"plants";"native"
"Coprosma_perpusilla";"plants";"native"
"Coprosma_petriei";"plants";"native"
"Coprosma_propinqua";"plants";"native"
"Coprosma_pseudocuneata";"plants";"native"
"Coprosma_repens";"plants";"native"
"Coprosma_rhamnoides";"plants";"native"
"Coprosma_rigida";"plants";"native"
"Coprosma_robusta";"plants";"native"
"Coprosma_rotundifolia";"plants";"native"
"Coprosma_rugosa";"plants";"native"
"Coprosma_serrulata";"plants";"native"
"Coprosma_tenuifolia";"plants";"native"
"Cordyline_australis";"plants";"native"
"Coriaria_angustissima";"plants";"native"
"Coriaria_arborea";"plants";"native"
"Coriaria_plumosa";"plants";"native"
"Coriaria_sarmentosa";"plants";"native"
"Corokia_cotoneaster";"plants";"native"
"Corokia_macrocarpa";"plants";"native"
"Corynocarpus_laevigatus";"plants";"native"
"Cotoneaster_coriaceus";"plants";"exotic"
"Cotoneaster_franchetii";"plants";"exotic"
"Cotoneaster_glaucophyllus";"plants";"exotic"
"Crataegus_monogyna";"plants";"exotic"
"Cyanoramphus_auriceps";"birds";"native"
"Cyanoramphus_malherbi";"birds";"native"
"Cyanoramphus_novaezelandiae";"birds";"native"
"Dacrycarpus_dacrydioides";"plants";"native"
"Dacrydium_cupressinum";"plants";"native"
"Dracaena_draco";"plants";"exotic"
"Dracophyllum_longifolium";"plants";"native"
"Dysoxylum_spectabile";"plants";"native"
"Elaeocarpus_dentatus";"plants";"native"
"Elaeocarpus_hookerianus";"plants";"native"
"Euonymus_europaeus";"plants";"exotic"
"Ficus_carica";"plants";"exotic"
"Ficus_macrophylla";"plants";"exotic"
"Finschia_novaeseelandiae";"birds";"native"
"Fragaria_ananassa";"plants";"exotic"
"Freycinetia_banksii";"plants";"native"
"Fringilla_coelebs";"birds";"exotic"
"Fuchsia_excorticata";"plants";"native"
"Fuchsia_perscandens";"plants";"native"
"Gallirallus_australis";"birds";"native"
"Gaultheria_antipoda";"plants";"native"
"Gaultheria_depressa";"plants";"native"
"Gaultheria_macrostigma";"plants";"native"
"Geniostoma_ligustrifolium";"plants";"native"
"Geniostoma_rupestre";"plants";"exotic"
"Gerygone_igata";"birds";"native"
"Griselinia_littoralis";"plants";"native"
"Griselinia_lucida";"plants";"native"
"Gunnera_tinctoria";"plants";"exotic"
"Halocarpus_biformis";"plants";"native"
"Hedera_helix";"plants";"exotic"
"Hedycarya_arborea";"plants";"native"
"Hedychium_gardnerianum";"plants";"exotic"
"Hemiphaga_novaeseelandiae";"birds";"native"
"Hymenolaimus_malacorhynchos";"birds";"native"
"Ileostylus_micranthus";"plants";"native"
"Ilex_aquifolium";"plants";"exotic"
"Isolepis_habra";"plants";"native"
"Knightia_excelsa";"plants";"native"
"Lantana_camara";"plants";"exotic"
"Laurus_nobilis";"plants";"exotic"
"Lepidothamnus_intermedius";"plants";"native"
"Lepidothamnus_laxifolius";"plants";"native"
"Leptecophylla_juniperina";"plants";"native"
"Leptospermum_scoparium";"plants";"native"
"Leucopogon_fasciculatus";"plants";"native"
"Leycesteria_formosa";"plants";"exotic"
"Ligustrum_lucidum";"plants";"exotic"
"Ligustrum_ovalifolium";"plants";"exotic"
"Ligustrum_sinense";"plants";"exotic"
"Litsea_calicaris";"plants";"native"
"Lonicera_japonica";"plants";"exotic"
"Lophomyrtus_bullata";"plants";"native"
"Lophomyrtus_obcordata";"plants";"native"
"Luzuriaga_parviflora";"plants";"native"
"Lycium_ferocissimum";"plants";"exotic"
"Macropiper_excelsum";"plants";"native"
"Malus_domestica";"plants";"exotic"
"Meleagris_gallopavo";"birds";"exotic"
"Melicytus_alpinus";"plants";"native"
"Melicytus_chathamicus";"plants";"native"
"Melicytus_lanceolatus";"plants";"native"
"Melicytus_obovatus";"plants";"native"
"Melicytus_ramiflorus";"plants";"native"
"Meryta_sinclairii";"plants";"native"
"Metrosideros_umbellata";"plants";"native"
"Mida_salicifolia";"plants";"native"
"Mohoua_albicilla";"birds";"native"
"Mohoua_ochrocephala";"birds";"native"
"Muehlenbeckia_astonii";"plants";"native"
"Muehlenbeckia_australis";"plants";"native"
"Muehlenbeckia_axillaris";"plants";"native"
"Muehlenbeckia_complexa";"plants";"native"
"Myoporum_laetum";"plants";"native"
"Myrsine_australis";"plants";"native"
"Myrsine_chathamica";"plants";"native"
"Myrsine_divaricata";"plants";"native"
"Myrsine_salicina";"plants";"native"
"Neomyrtus_pedunculata";"plants";"native"
"Neopanax_colensoi";"plants";"native"
"Nestegis_cunninghamii";"plants";"native"
"Nestegis_lanceolata";"plants";"native"
"Nestor_meridionalis";"birds";"native"
"Nestor_notabilis";"birds";"native"
"Notiomystis_cincta";"birds";"native"
"Olea_europaea";"plants";"Exotic"
"Paratrophis_microphylla";"plants";"native"
"Parsonsia_heterophylla";"plants";"native"
"Passer_domesticus";"birds";"exotic"
"Passiflora_edulis";"plants";"Exotic"
"Passiflora_tarminiana";"plants";"exotic"
"Passiflora_tetrandra";"plants";"native"
"Passiflora_tripartita";"plants";"Exotic"
"Pennantia_corymbosa";"plants";"native"
"Pentachondra_pumila";"plants";"native"
"Peraxilla_colensoi";"plants";"native"
"Peraxilla_tetrapetala";"plants";"native"
"Petroica_australis";"birds";"native"
"Petroica_macrocephala";"birds";"native"
"Phasianus_colchicus";"birds";"exotic"
"Philesturnus_carunculatus";"birds";"native"
"Phoenix_canariensis";"plants";"exotic"
"Phormium_colensoi";"plants";"native"
"Phormium_tenax";"plants";"native"
"Phyllocladus_trichomanoides";"plants";"native"
"Phytolacca_icosandra";"plants";"exotic"
"Pisonia_brunoniana";"plants";"native"
"Pittosporum_crassifolium";"plants";"native"
"Pittosporum_eugenioides";"plants";"native"
"Pittosporum_tenuifolium";"plants";"native"
"Plagianthus_regius";"plants";"native"
"Planchonella_costata";"plants";"native"
"Platycercus_eximius";"birds";"exotic"
"Podocarpus_cunninghamii";"plants";"native"
"Podocarpus_nivalis";"plants";"native"
"Podocarpus_totara";"plants";"native"
"Porphyrio_melanotus";"birds";"native"
"Prosthemadera_novaeseelandiae";"birds";"native"
"Prumnopitys_ferruginea";"plants";"native"
"Prumnopitys_taxifolia";"plants";"native"
"Prunus_avium";"plants";"exotic"
"Prunus_cerasifera";"plants";"exotic"
"Prunus_domestica";"plants";"exotic"
"Prunus_laurocerasus";"plants";"exotic"
"Prunus_persica";"plants";"exotic"
"Pseudopanax_arboreus";"plants";"native"
"Pseudopanax_crassifolius";"plants";"native"
"Pseudopanax_lessonii";"plants";"native"
"Pseudowintera_axillaris";"plants";"native"
"Pseudowintera_colorata";"plants";"native"
"Psidium_cattleianum";"plants";"exotic"
"Pyrus_communis";"plants";"exotic"
"Raukaua_edgerleyi";"plants";"native"
"Raukaua_simplex";"plants";"native"
"Rhamnus_alaternus";"plants";"exotic"
"Rhaphiolepis_loquata";"plants";"exotic"
"Rhipidura_fuliginosa";"birds";"native"
"Rhopalostylis_sapida";"plants";"native"
"Ribes_sanguineum";"plants";"exotic"
"Ripogonum_scandens";"plants";"native"
"Rosa_rubiginosa";"plants";"exotic"
"Rubus_australis";"plants";"native"
"Rubus_cissoides";"plants";"native"
"Rubus_fruticosus";"plants";"exotic"
"Rubus_squarrosus";"plants";"native"
"Sambucus_nigra";"plants";"exotic"
"Schefflera_digitata";"plants";"native"
"Solanum_americanum";"plants";"native"
"Solanum_aviculare";"plants";"native"
"Solanum_laciniatum";"plants";"native"
"Solanum_mauritianum";"plants";"exotic"
"Solanum_nigrum";"plants";"exotic"
"Solanum_pseudocapsicum";"plants";"exotic"
"Sorbus_aucuparia";"plants";"exotic"
"Strigops_habroptila";"birds";"native"
"Sturnus_vulgaris";"birds";"exotic"
"Styphelia_nesophila";"plants";"native"
"Syzygium_australe";"plants";"exotic"
"Syzygium_smithii";"plants";"exotic"
"Tadorna_variegata";"birds";"native"
"Taxus_baccata";"plants";"exotic"
"Toronia_toru";"plants";"native"
"Trachycarpus_fortunei";"plants";"exotic"
"Tropaeolum_speciosum";"plants";"exotic"
"Tupeia_antarctica";"plants";"native"
"Turdus_merula";"birds";"exotic"
"Turdus_philomelos";"birds";"exotic"
"Vitex_lucens";"plants";"native"
"Vitis_vinifera";"plants";"exotic"
"Weinmannia_racemosa";"plants";"native"
"Zosterops_lateralis";"birds";"native"
